Quote;Author;FR;FR;ITA;ITA;SPA;SPA;GER;GER;POL;POL;POR;POR;RUS;RUS
Unsere Macht ist die des Volkes;;;;;;;;;;;;;;;
Nothing is real;All freedom is permitted;;;;;;;;;;;;;;
We operate the universal good;;;;;;;;;;;;;;;
Comrades, soldiers, friends!;The age of peace now ends;;;;;;;;;;;;;;
We are the wild laughter of life;;;;;;;;;;;;;;;
The dawn of freedom gives us courage;to forge justice for all, and a conscience for the tyrants;;;;;;;;;;;;;;
We reduce the unknowns of the future;;;;;;;;;;;;;;;
The Authority may not win the people's sympathy,;but it is the sole and immortal bearer of peace and stability;;;;;;;;;;;;;;
The stars above us are silent;;;;;;;;;;;;;;;
All the powers of law will dance to the sound of arms;;;;;;;;;;;;;;;
One flesh, one bone, one true religion,;one race, one hope, one real decision;;;;;;;;;;;;;;
The noise of time is the present clamouring to be heard;above past voices raised in mourning for their lost future;;;;;;;;;;;;;;
Man is the measure of all that exists;;;;;;;;;;;;;;;
What is the privilege of the dead?;;;;;;;;;;;;;;;
The present is terrifying because it is irreversible and because it is of iron;;;;;;;;;;;;;;;
Brother of mine, open your eyes;to the new light;;;;;;;;;;;;;;
We have shed a sea of blood for the brotherhood and unity of our people;And we will not allow anyone to divide us from within;;;;;;;;;;;;;;
But our differences are differences of empathy;;;;;;;;;;;;;;;
An isolated word, or a detail of a design can be understood,;but the meaning of the whole escapes;;;;;;;;;;;;;;
Every death brings a new victory;;;;;;;;;;;;;;;
You who challenge evil;March to battle joyfully, shed your blood and fall - if you truly are a hero;;;;;;;;;;;;;;
Kapital de la douleur;;;;;;;;;;;;;;;
The sword is the axis of this world and its power is absolute;;;;;;;;;;;;;;;
Get ready for the future, brother, it is murder;;;;;;;;;;;;;;;
We love our land sorrowfully, as our fathers had loved it;;;;;;;;;;;;;;;
Thinking as one to the beat of the drum;;;;;;;;;;;;;;;
I appeal to you, fellow workers,;renounce strikes until the hard times are gone;;;;;;;;;;;;;;
Brother of mine,;do you feel the courage wakened by the red light of the dawn?;;;;;;;;;;;;;;
Let us be strong as those who toil;in the eternal struggle for the beauty of the world;;;;;;;;;;;;;;
Those who have not been born do not weep and have no regrets;;;;;;;;;;;;;;;
Bloody soil;Fertile land;;;;;;;;;;;;;;
Let us light the flame in every man;;;;;;;;;;;;;;;
They took away our native tongue;and taught their English to our young;;;;;;;;;;;;;;
