#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;Extra1;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;==========;==========;X
#AI.txt;;;;;;;;;;;X
EVT_2400151_NAME;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;Morale collapses;;;X
EVT_2400151_DESC;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;Due to sudden radical changes, political disturbances, and other circumstances beyond our control, the orgamization and combat readiness of our armed forces had fallen dramatically. ;;;X
EVT_2400160_NAME;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;Combat effectiveness reset;;;X
EVT_2400160_DESC;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;Our armed forces are undergoing intensive restructuring due to rapidly changing circumstances. ;;;X
EVT_2400164_NAME;Morale recovers;Morale recovers;Morale recovers;Morale recovers;Morale recovers;Morale recovers;Morale recovers;Morale recovers;;;X
EVT_2400164_DESC;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;After a lengthy period of adjustment, the morale, organization, and combat readiness of our troops is starting to recover ;;;X
EVT_2400072_NAME;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;;;X
EVT_2400072_DESC;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;We have just developed a new and highly destructive weapon! We can't keep this development secret, nor do we wish to keep it secret. We must now decide how we shall weild this new power. ;;;X
EVT_2400073_NAME;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;Nuclear technology;;;X
EVT_2400073_DESC;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;Attention: One of the nations has just developed a new and highly destructive weapon! We must seek to aquire similar technology for ourselves, or face peril. ;;;X
EVT_2400073_ACTA;We must be prepared!;We must be prepared!;We must be prepared!;We must be prepared!;We must be prepared!;We must be prepared!;We must be prepared!;We must be prepared!;;;X
