Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;x
Perez Farras;12000;U52;1930;1990;1990;1990;1;5;514;1;1;5;0;M516;1930;1990;x
Bosch i Grassi;12001;U52;1930;1990;1990;1990;1;7;578;1;0;5;0;M536;1930;1990;x
Sabio Dutoit;12002;U52;1930;1990;1990;1990;3;7;262144;1;0;5;0;L12002;1930;1990;x
Òdena;12003;U52;1930;1990;1990;1990;3;1;256;0;0;5;0;L12003;1930;1990;x
Sanz;12004;U52;1930;1990;1990;1990;3;3;32;0;0;5;0;L12004;1930;1990;x
Batet Mestre;12005;U52;1930;1934;1934;1934;0;5;4;1;0;5;0;M517;1930;1990;x
Guarner;12006;U52;1930;1990;1990;1990;1;2;512;1;0;5;0;M525;1930;1990;x
Subirana;12007;U52;1930;1990;1990;1990;2;2;264;1;0;5;0;L12007;1930;1990;x
Quico;12008;U52;1930;1990;1990;1990;3;3;264;1;0;5;0;L12008;1930;1990;x
Aranguren;12009;U52;1930;1990;1990;1990;3;4;512;0;0;5;0;L12009;1930;1990;x
Del Barrio;12010;U52;1930;1990;1990;1990;3;3;262402;1;0;5;0;L12010;1930;1990;x
Benet Capará;12011;U52;1930;1990;1990;1990;3;2;2;0;0;5;0;M533;1930;1990;x
Bueno;12012;U52;1930;1990;1990;1990;1;2;128;0;0;5;0;L12012;1930;1990;x
Colomer;12013;U52;1930;1990;1990;1990;2;2;4096;0;0;5;2;M529;1930;1990;x
Canudas;12014;U52;1930;1990;1990;1990;0;5;20480;2;0;5;2;L12014;1930;1990;x
Roig;12015;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12015;1930;1990;x
Vinyals;12016;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12016;1930;1990;x
Mata;12017;U52;1930;1990;1990;1990;3;4;0;1;0;5;2;L12017;1930;1990;x
Dimoni Roig;12018;U52;1930;1990;1990;1990;0;6;36864;2;0;5;2;L12018;1930;1990;x
Falcó;12019;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12019;1930;1990;x
Comas;12020;U52;1930;1990;1990;1990;1;3;0;1;0;5;2;L12020;1930;1990;x
Sayos;12021;U52;1930;1990;1990;1990;3;4;0;0;0;5;2;L12021;1930;1990;x
Vives;12022;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12022;1930;1990;x
Diaz Sandino;12023;U52;1930;1990;1990;1990;0;4;4096;2;0;5;2;L12023;1930;1990;x
Beltrán;12024;U52;1930;1990;1990;1990;3;2;4;1;0;5;0;L12024;1930;1990;x
Escobar;12025;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12025;1930;1990;x
Bilbao;12026;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12026;1930;1990;x
Basanta;12027;U52;1930;1990;1990;1990;0;5;512;2;1;5;2;M548;1930;1990;x
Cavero;12028;U52;1930;1990;1990;1990;3;1;288;0;0;5;0;L12028;1930;1990;x
Borau;12029;U52;1930;1990;1990;1990;3;1;256;0;0;5;0;L12029;1930;1990;x
Arquer;12030;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12030;1930;1990;x
Fusimañá;12031;U52;1930;1990;1990;1990;1;7;257;2;0;5;0;L12031;1930;1990;x
Lacasa;12032;U52;1930;1990;1990;1990;3;2;16;1;0;5;0;L12032;1930;1990;x
Borderas;12033;U52;1930;1990;1990;1990;3;1;0;0;0;5;0;L12033;1930;1990;x
Estrada;12034;U52;1930;1990;1990;1990;0;2;96;1;0;5;0;L12034;1930;1990;x
García Vivancos;12035;U52;1930;1990;1990;1990;3;3;265;0;0;5;0;L12035;1930;1990;x
Zambudio;12036;U52;1930;1990;1990;1990;2;2;4096;1;0;5;2;L12036;1930;1990;x
López Tovar;12037;U52;1930;1990;1990;1990;3;2;296;1;0;5;0;L12037;1930;1990;x
Morquillas;12038;U52;1930;1990;1990;1990;2;2;32768;1;0;5;2;L12038;1930;1990;x
Bielsa;12039;U52;1930;1990;1990;1990;3;2;0;1;0;5;2;L12039;1930;1990;x
Rambaud;12040;U52;1930;1990;1990;1990;1;5;0;1;1;5;2;M551;1930;1990;x
Aparici;12041;U52;1930;1990;1990;1990;3;4;0;1;0;5;2;L12041;1930;1990;x
André Marty;12042;U52;1930;1990;1990;1990;1;7;296;2;2;5;0;L12042;1930;1990;x
Rampérez;12043;U52;1930;1990;1990;1990;3;1;256;0;0;5;0;M560;1930;1990;x
Ascaso;12044;U52;1930;1990;1990;1990;3;4;262400;0;0;5;0;L12044;1930;1990;x
Callau;12045;U52;1930;1990;1990;1990;3;2;256;0;0;5;0;L12045;1930;1990;x
Castelló;12046;U52;1930;1990;1990;1990;3;3;256;1;0;5;0;L12046;1930;1990;x
Peirats;12047;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12047;1930;1990;x
Porté;12048;U52;1930;1990;1990;1990;3;2;256;1;0;5;0;L12048;1930;1990;x
Puig;12049;U52;1930;1990;1990;1990;3;2;0;1;0;5;0;L12049;1930;1990;x
