Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Kovpak S.;31000;UTO;1939;1939;1990;1990;2;8;16;5;20;5;0;unknownleader;1939;1960;1999;x
Shurukhin P.;31001;UTO;1939;1939;1990;1990;2;7;4;4;20;5;0;unknownleader;1942;1960;1999;x
Saburov A.;31002;UTO;1939;1939;1990;1990;2;7;8;4;20;5;0;unknownleader;1942;1960;1999;x
Vershigora P.;31003;UTO;1939;1939;1990;1990;2;7;4;4;20;5;0;unknownleader;1939;1960;1999;x
Korzh V.;31004;UTO;1939;1939;1990;1990;2;7;1;4;20;5;0;unknownleader;1939;1960;1999;x
Fedorov O.;31005;UTO;1939;1939;1990;1990;2;7;2;4;20;5;0;unknownleader;1939;1960;1999;x
Rudnev S.;31006;UTO;1939;1939;1990;1990;2;7;4;4;20;5;0;unknownleader;1939;1960;1999;x
Duka M.;31007;UTO;1939;1939;1990;1990;2;7;4;4;20;5;0;unknownleader;1942;1960;1999;x
Druzhinin V.;31008;UTO;1939;1990;1990;1990;3;6;1;3;20;5;0;unknownleader;1942;1960;1999;x
Zaslonov K.;31009;UTO;1939;1990;1990;1990;3;7;32;4;20;5;0;unknownleader;1939;1960;1999;x
Sergeychik I.;31010;UTO;1939;1990;1990;1990;3;6;1;3;20;5;0;unknownleader;1942;1960;1999;x
Masherov P.;31011;UTO;1939;1990;1990;1990;3;6;4;3;20;5;0;unknownleader;1942;1960;1999;x
Andreev V.A.;31012;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Brinsky A.P.;31013;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Bumazhkov T.P.;31014;UTO;1939;1990;1990;1990;3;6;4;3;20;5;0;unknownleader;1939;1960;1999;x
Vasiliev N.G.;31015;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Vaupchasov S.A.;31016;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Vergasov I.Z.;31017;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Voloshina V.D.;31018;UTO;1939;1990;1990;1990;3;5;256;2;20;5;0;unknownleader;1939;1960;1999;x
Golikov L.A.;31019;UTO;1939;1990;1990;1990;3;6;4;3;20;5;0;unknownleader;1942;1960;1999;x
Grigoriev I.A.;31020;UTO;1939;1990;1990;1990;3;5;4;2;20;5;0;unknownleader;1942;1960;1999;x
Emlutin D.V.;31021;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
Kaysenov K.;31022;UTO;1939;1990;1990;1990;3;6;2;3;20;5;0;unknownleader;1942;1960;1999;x
Karasev V.A.;31023;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1942;1960;1999;x
Gorjachev N.I.;31024;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1942;1960;1999;x
Melnikayte M.I.;31025;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1942;1960;1999;x
Melnik Y.I.;31026;UTO;1939;1990;1990;1990;3;5;0;2;20;5;0;unknownleader;1939;1960;1999;x
