Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Kim Il Sung;735000;PRK;1930;1930;1930;1930;0;3;1;1;0;5;0;L579004;1930;1960;1999;x
Ra Pilk Wan;735001;PRK;1945;1990;1990;1990;3;2;0;0;0;5;0;L579010;1945;1960;1999;x
Kang Kon;735002;PRK;1942;1990;1990;1990;3;3;0;0;0;5;1;L579024;1942;1960;1999;x
Kim Chaek;735003;PRK;1945;1948;1951;1990;1;5;4;3;0;5;0;MS334;1945;1960;1990;x
Choe Hyon;735004;PRK;1945;1948;1951;1990;2;5;0;3;0;5;0;unknownleader;1945;1960;1990;x
Kim Kwang-hyop;735005;PRK;1945;1948;1952;1990;2;5;2;3;0;5;0;unknownleader;1945;1960;1990;x
Kim Ung;735006;PRK;1945;1948;1952;1990;2;5;4;3;0;5;0;unknownleader;1945;1960;1990;x
Pak Il-u;735007;PRK;1945;1948;1990;1990;3;4;0;3;0;5;0;MS331;1945;1960;1990;x
Kim Chol-man;735008;PRK;1946;1950;1955;1990;3;4;0;3;0;5;0;unknownleader;1946;1960;1990;x
Choe Yong-gon;735009;PRK;1945;1946;1948;1954;0;5;1;3;0;5;0;MS330;1945;1960;1990;x
Kim Chang-bong;735010;PRK;1945;1948;1952;1990;2;5;8;3;0;5;0;unknownleader;1945;1960;1990;x
Yu Kyong-su;735011;PRK;1947;1952;1990;1990;3;4;0;3;0;5;0;unknownleader;1947;1960;1990;x
Pak Chong-guk;735012;PRK;1947;1952;1990;1990;3;4;0;2;0;5;0;unknownleader;1947;1960;1990;x
Ri Yong-ho;735013;PRK;1945;1948;1952;1990;2;4;8;3;0;5;0;unknownleader;1945;1960;1990;x
Ri Tu-ik;735014;PRK;1948;1952;1990;1990;3;4;0;2;0;5;0;unknownleader;1947;1960;1990;x
Pak Il-gyu;735015;PRK;1948;1952;1990;1990;3;4;0;2;0;5;0;unknownleader;1947;1960;1990;x
Kang Thae-mu;735016;PRK;1945;1948;1951;1990;2;5;4;3;0;5;0;unknownleader;1945;1960;1990;x
Ho Bong-hak;735017;PRK;1945;1948;1952;1990;2;4;0;3;0;5;0;unknownleader;1945;1960;1990;x
Pang Ho-san;735018;PRK;1945;1948;1952;1990;2;5;256;3;0;5;0;unknownleader;1945;1960;1990;x
Lee Kwon-mu;735019;PRK;1945;1948;1952;1990;2;4;0;3;0;5;0;unknownleader;1945;1960;1990;x
Nam Il;735020;PRK;1948;1950;1952;1960;1;5;2;3;0;5;0;M579003;1948;1970;1990;x
Kang Sang-ho;735021;PRK;1948;1950;1955;1965;2;5;0;3;0;5;0;unknownleader;1948;1970;1990;x
Pang Hak-se;735022;PRK;1948;1950;1955;1965;2;4;0;3;0;5;0;unknownleader;1948;1970;1990;x
Ri Hak-se;735023;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Kim Yong-bok (elder);735024;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Pak Yong-guk;735025;PRK;1948;1951;1956;1965;3;4;4;2;0;5;0;unknownleader;1948;1970;1990;x
Choe Kyong-sok;735026;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Ri Pyong-chol (elder);735027;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Kim Myong-guk;735028;PRK;1948;1951;1956;1965;3;4;8;2;0;5;0;unknownleader;1948;1970;1990;x
Pak Chung-kuk;735029;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Ri Chol-min;735030;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Kim Sung-chol;735031;PRK;1948;1951;1956;1965;3;4;256;2;0;5;0;unknownleader;1948;1970;1990;x
Pak Ki-song;735032;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Choe Yong-sik;735033;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Ri Kang-su;735034;PRK;1948;1951;1956;1965;3;4;4;2;0;5;0;unknownleader;1948;1970;1990;x
Kim Hak-chol;735035;PRK;1948;1951;1956;1965;3;4;0;2;0;5;0;unknownleader;1948;1970;1990;x
Du Ping;735100;CHC;1943;1990;1990;1990;3;6;256;0;0;5;0;L579000;1943;1960;1999;x
Gan Siqi;735101;CHC;1938;1944;1990;1990;2;4;2;1;0;5;0;L579001;1938;1960;1999;x
Han Xianchu;735102;CHC;1930;1940;1944;1990;1;4;0;3;0;5;0;L579002;1930;1960;1999;x
Hong Xuezhi;735103;CHC;1942;1990;1990;1990;3;3;1;0;0;5;0;L579003;1942;1960;1999;x
Lai Chuanzhu;735104;CHC;1944;1990;1990;1990;3;2;0;0;0;5;0;L579005;1944;1960;1999;x
Li Jukui;735105;CHC;1941;1990;1990;1990;3;4;128;0;0;5;0;L579006;1941;1960;1999;x
Liu Fei;735106;CHC;1940;1990;1990;1990;3;3;0;0;0;5;0;L579007;1940;1960;1999;x
Nie Fengzhi;735107;CHC;1937;1942;1943;1990;1;5;128;2;0;5;0;L579008;1937;1960;1999;x
Quin Jiwei;735108;CHC;1940;1943;1990;1990;2;4;64;1;0;5;0;L579009;1940;1960;1999;x
Song Shilun;735109;CHC;1930;1940;1990;1990;2;4;64;1;0;5;0;M579007;1930;1960;1999;x
Su Yu;735110;CHC;1930;1930;1942;1943;0;5;9;3;0;5;0;L579012;1930;1960;1999;x
Tao Yong;735111;CHC;1939;1942;1990;1990;2;4;0;1;0;5;0;M579013;1939;1960;1999;x
Wu Ruilin;735112;CHC;1945;1990;1990;1990;3;3;32;0;0;5;0;L579014;1945;1960;1999;x
Xiao Jinguang;735113;CHC;1930;1990;1990;1990;3;4;1;0;0;5;0;M579006;1930;1960;1999;x
Xu Binzhou;735114;CHC;1938;1942;1990;1990;2;5;16;1;0;5;0;M579016;1938;1960;1999;x
Yang Dezhi;735115;CHC;1942;1990;1990;1990;3;2;0;0;0;5;0;L579017;1942;1960;1999;x
Zhang Renchu;735116;CHC;1941;1990;1990;1990;3;4;8;0;0;5;0;M579018;1941;1960;1999;x
Zheng Weishan;735117;CHC;1939;1941;1990;1990;2;3;256;1;0;5;0;M579019;1939;1960;1999;x
Zhoui Biao;735118;CHC;1930;1939;1942;1990;1;5;4;2;0;5;0;M579020;1930;1960;1999;x
Chen Xilian;735119;CHC;1938;1942;1990;1990;2;3;2048;1;0;5;1;L579021;1938;1960;1999;x
Chen Yun;735120;CHC;1930;1990;1990;1990;3;3;0;0;0;5;1;L579022;1930;1960;1999;x
Deng Hua;735121;CHC;1944;1990;1990;1990;3;4;4096;0;0;5;1;L579023;1944;1960;1999;x
Liu Xiyuan;735122;CHC;1930;1940;1945;1990;1;3;1024;2;0;5;1;M579009;1930;1960;1999;x
Chen Geng;735123;CHC;1940;1990;1990;1990;3;4;131072;0;0;5;2;L579026;1940;1960;1999;x
Li Kenong;735124;CHC;1930;1930;1943;1990;1;4;32768;2;0;5;2;M579010;1930;1960;1999;x
Li Zhimin;735125;CHC;1940;1943;1990;1990;2;3;0;2;0;5;2;L579028;1940;1960;1999;x
Liang Xingchu;735126;CHC;1944;1990;1990;1990;3;3;65536;1;0;5;2;L579029;1944;1960;1999;x
Liu Yalou;735127;CHC;1940;1943;1990;1990;2;4;0;1;0;5;2;L579030;1940;1960;1999;x
Wang Daobang;735128;CHC;1944;1990;1990;1990;3;3;4096;0;0;5;2;L579031;1944;1960;1999;x
Wang Yinshan;735129;CHC;1942;1990;1990;1990;3;4;8192;0;0;5;2;L579032;1942;1960;1999;x
Wu Xinquan;735130;CHC;1938;1942;1990;1990;2;3;0;1;0;5;2;L579033;1938;1960;1999;x
Yuan Shengping;735131;CHC;1945;1990;1990;1990;3;3;0;0;0;5;2;L579034;1945;1960;1999;x
Peng Dehuai;735132;CHC;1935;1937;1945;1955;0;6;4;4;0;5;0;L76336;1935;1960;1990;x
Xu Shiyou;735133;CHC;1938;1945;1955;1990;2;5;0;3;0;5;0;unknownleader;1938;1960;1990;x
Yang Chengwu;735134;CHC;1940;1945;1955;1990;2;5;256;3;0;5;0;unknownleader;1940;1960;1990;x
Wang Jinshan;735135;CHC;1945;1948;1955;1990;3;5;4;3;0;5;0;unknownleader;1945;1960;1990;x
Zhang Zongxun;735136;CHC;1945;1948;1955;1990;2;5;0;3;0;5;0;6030;1945;1960;1990;x
Qin Jiwei;735137;CHC;1945;1952;1990;1990;3;5;256;3;0;5;0;unknownleader;1945;1960;1990;x
Zhou Xihan;735138;CHC;1945;1948;1955;1990;3;5;0;3;0;5;0;unknownleader;1945;1960;1990;x
Yang Yong;735139;CHC;1945;1948;1955;1990;2;5;4;3;0;5;0;unknownleader;1945;1960;1990;x
Wang Zhen;735140;CHC;1945;1948;1955;1990;2;5;0;3;0;5;0;6028;1945;1960;1990;x
Fu Chongbi;735141;CHC;1945;1948;1955;1990;3;5;256;3;0;5;0;unknownleader;1945;1960;1990;x
Li Tianyou;735142;CHC;1945;1948;1955;1990;2;5;0;3;0;5;0;unknownleader;1945;1960;1990;x
Zhang Guohua;735143;CHC;1945;1948;1955;1990;3;5;8;3;0;5;0;unknownleader;1945;1960;1990;x
Terentii Shtykov;735200;SOV;1942;1944;1945;1990;1;5;512;3;0;5;0;unknownleader;1942;1960;1990;x
Nikolai A. Vasilev;735201;SOV;1943;1945;1949;1990;1;5;4;3;0;5;0;L10352;1943;1960;1990;x
Matvei Zakharov;735202;SOV;1938;1943;1944;1955;0;6;1;4;0;5;0;L10378;1938;1960;1990;x
Sergey Shtemenko;735203;SOV;1942;1944;1948;1990;1;6;1;4;0;5;0;L10296;1942;1960;1990;x
Afanasy Beloborodov;735204;SOV;1941;1943;1944;1990;1;6;4;4;0;5;0;L9836;1941;1960;1990;x
Ivan Chistyakov;735205;SOV;1941;1942;1943;1990;1;5;2;3;0;5;0;L9880;1941;1960;1990;x
Ivan Kozhedub;735206;SOV;1944;1949;1951;1990;2;6;4096;4;0;5;2;unknownleader;1944;1960;1990;x
Sergey Kramarenko;735207;SOV;1947;1951;1990;1990;3;5;4096;3;0;5;2;unknownleader;1947;1960;1990;x
Nikolai Sutyagin;735208;SOV;1947;1951;1990;1990;3;5;4096;3;0;5;2;unknownleader;1947;1960;1990;x
Evgeny Pepelyaev;735209;SOV;1947;1951;1990;1990;3;5;4096;3;0;5;2;unknownleader;1947;1960;1990;x
