Faction;Cabinet Position;Name;Trait (spelled out as text);Historical Photo URL
Henan;Head of State;Feng Yuxiang;resigned generalissimo;https://commons.wikimedia.org/wiki/File:Feng_Yuxiang.jpg
Henan;Head of Government;Feng Yuxiang;silent workhorse;https://commons.wikimedia.org/wiki/File:Feng_Yuxiang.jpg
Henan;Foreign Minister;Sun Dianying;the cloak n dagger schemer;https://commons.wikimedia.org/wiki/File:Sun_Dianying.jpg
Henan;Minister of Armament;Bie Tingfang;administrative genius;
Henan;Minister of Security;Bie Tingfang;crime fighter;
Henan;Head of Military Intelligence;Liu Zhennian;technical specialist;https://commons.wikimedia.org/wiki/File:Liu_Zhennian.jpg
Henan;Chief of Staff;Liu Zhennian;school of manoeuvre;https://commons.wikimedia.org/wiki/File:Liu_Zhennian.jpg
Henan;Chief of Army;Feng Yuxiang;static defence doctrine;https://commons.wikimedia.org/wiki/File:Feng_Yuxiang.jpg
Henan;Chief of Navy;Feng Yuxiang;undistinguished suit;https://commons.wikimedia.org/wiki/File:Feng_Yuxiang.jpg
Henan;Chief of Air Force;Feng Yuxiang;army aviation doctrine;https://commons.wikimedia.org/wiki/File:Feng_Yuxiang.jpg
Hunan;Head of State;He Jian;autocratic charmer;https://commons.wikimedia.org/wiki/File:He_Jian.jpg
Hunan;Head of Government;He Jian;old general;https://commons.wikimedia.org/wiki/File:He_Jian.jpg
Hunan;Foreign Minister;Cheng Qian;great compromiser;https://commons.wikimedia.org/wiki/File:Cheng_Qian.jpg
Hunan;Minister of Armament;Tang Shengzhi;laissez-faire capitalist;https://commons.wikimedia.org/wiki/File:Tang_Shengzhi.jpg
Hunan;Minister of Security;Tang Shengzhi;prince of terror;https://commons.wikimedia.org/wiki/File:Tang_Shengzhi.jpg
Hunan;Head of Military Intelligence;Cheng Qian;political specialist;https://commons.wikimedia.org/wiki/File:Cheng_Qian.jpg
Hunan;Chief of Staff;Tang Shengzhi;school of mass combat;https://commons.wikimedia.org/wiki/File:Tang_Shengzhi.jpg
Hunan;Chief of Army;He Jian;decisive battle doctrine;https://commons.wikimedia.org/wiki/File:He_Jian.jpg
Hunan;Chief of Navy;He Jian;undistinguished suit;https://commons.wikimedia.org/wiki/File:He_Jian.jpg
Hunan;Chief of Air Force;He Jian;air superiority doctrine;https://commons.wikimedia.org/wiki/File:He_Jian.jpg
Shandong;Head of State;Han Fuju;powerhungry demagogue;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Head of Government;Han Fuju;backroom backstabber;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Foreign Minister;Sun Dianying;the cloak n dagger schemer;https://commons.wikimedia.org/wiki/File:Sun_Dianying.jpg
Shandong;Minister of Armament;Han Fuju;corrupt kleptocrat;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Minister of Security;Han Fuju;crooked kleptocrat;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Head of Military Intelligence;Liu Zhennian;technical specialist;https://commons.wikimedia.org/wiki/File:Liu_Zhennian.jpg
Shandong;Chief of Staff;Liu Zhennian;school of manoeuvre;https://commons.wikimedia.org/wiki/File:Liu_Zhennian.jpg
Shandong;Chief of Army;Han Fuju;guns and butter doctrine;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Chief of Navy;Han Fuju;undistinguished suit;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Shandong;Chief of Air Force;Han Fuju;air to ground proponent;https://commons.wikimedia.org/wiki/File:Han_Fuju_1929.jpg
Guangdong;Head of State;Chen Jitang;autocratic charmer;https://commons.wikimedia.org/wiki/File:Chen_Jitang2.jpg
Guangdong;Head of Government;Chen Jitang;corporate suit;https://commons.wikimedia.org/wiki/File:Chen_Jitang2.jpg
Guangdong;Foreign Minister;Chen Mingshu;great compromiser;https://commons.wikimedia.org/wiki/File:Chen_Mingshu.jpg
Guangdong;Minister of Armament;Huang Qixiang;resource industrialist;https://commons.wikimedia.org/wiki/File:Huang_Qixiang.jpg
Guangdong;Minister of Security;Huang Qixiang;man of the people;https://commons.wikimedia.org/wiki/File:Huang_Qixiang.jpg
Guangdong;Head of Military Intelligence;Chen Mingshu;industrial specialist;https://commons.wikimedia.org/wiki/File:Chen_Mingshu.jpg
Guangdong;Chief of Staff;Huang Qixiang;school of manoeuvre;https://commons.wikimedia.org/wiki/File:Huang_Qixiang.jpg
Guangdong;Chief of Army;Chen Jitang;decisive battle doctrine;https://commons.wikimedia.org/wiki/File:Chen_Jitang2.jpg
Guangdong;Chief of Navy;Chen Jitang;open seas doctrine;https://commons.wikimedia.org/wiki/File:Chen_Jitang2.jpg
Guangdong;Chief of Air Force;Chen Jitang;naval aviation doctrine;https://commons.wikimedia.org/wiki/File:Chen_Jitang2.jpg
Xikang;Head of State;Liu Wenhui;autocratic charmer;https://commons.wikimedia.org/wiki/File:Liu_Wenhui_(劉文輝),_Liangyou,_1929-11-30.jpg
Xikang;Head of Government;Liu Wenhui;silent workhorse;https://commons.wikimedia.org/wiki/File:Liu_Wenhui_(劉文輝),_Liangyou,_1929-11-30.jpg
Xikang;Foreign Minister;Tian Songyao;apologetic clerk;https://commons.wikimedia.org/wiki/File:Tian_Songyao.jpg
Xikang;Minister of Armament;Deng Xihou;administrative genius;https://commons.wikimedia.org/wiki/File:Deng_Xihou.jpg
Xikang;Minister of Security;Deng Xihou;silent lawyer;https://commons.wikimedia.org/wiki/File:Deng_Xihou.jpg
Xikang;Head of Military Intelligence;Tian Songyao;logistics specialist;https://commons.wikimedia.org/wiki/File:Tian_Songyao.jpg
Xikang;Chief of Staff;Deng Xihou;school of defence;https://commons.wikimedia.org/wiki/File:Deng_Xihou.jpg
Xikang;Chief of Army;Liu Wenhui;elastic defence doctrine;https://commons.wikimedia.org/wiki/File:Liu_Wenhui_(劉文輝),_Liangyou,_1929-11-30.jpg
Xikang;Chief of Navy;Liu Wenhui;undistinguished suit;https://commons.wikimedia.org/wiki/File:Liu_Wenhui_(劉文輝),_Liangyou,_1929-11-30.jpg
Xikang;Chief of Air Force;Liu Wenhui;vertical envelopment doctrine;https://commons.wikimedia.org/wiki/File:Liu_Wenhui_(劉文輝),_Liangyou,_1929-11-30.jpg
Shaanxi;Head of State;Yang Hucheng;resigned generalissimo;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Shaanxi;Head of Government;Yang Hucheng;old general;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Shaanxi;Foreign Minister;Shi Yousan;the cloak n dagger schemer;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Shaanxi;Minister of Armament;Yang Hucheng;administrative genius;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Shaanxi;Minister of Security;Shi Yousan;efficient sociopath;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Shaanxi;Head of Military Intelligence;Shi Yousan;political specialist;https://commons.wikimedia.org/wiki/File:Shi_Yousan.jpg
Shaanxi;Chief of Staff;Yang Hucheng;school of psychology;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Shaanxi;Chief of Army;Yang Hucheng;decisive battle doctrine;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
Shaanxi;Chief of Navy;Yang Hucheng;undistinguished suit;https://commons.wikimedia.org/wiki/File:Yang_Hucheng.jpg
