U00;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;;
;Replacements;;;;;;;;;X;;
1146201;Head of State;He Jian;1933;1964;1999;PA;autocratic charmer;High;MS20;X;;
1146202;Head of Government;He Jian;1933;1964;1999;PA;old general;High;MS20;X;;
1146203;Foreign Minister;Cheng Qian;1933;1964;1999;PA;great compromiser;High;L50041;X;;
1146204;Minister of Armament;Cheng Qian;1933;1964;1999;PA;laissez-faire capitalist;High;L50041;X;;
1146205;Minister of Security;Li Jue;1933;1964;1999;PA;prince of terror;High;L50172;X;;
1146206;Head of Military Intelligence;He Jian;1933;1964;1999;PA;political specialist;High;MS20;X;;
1146207;Chief of Staff;Peng Songling;1933;1964;1999;PA;school of mass combat;High;MS23;X;;
1146208;Chief of Army;Liu Jianxu;1933;1964;1999;PA;decisive battle doctrine;High;L50204;X;;
1146209;Chief of Navy;He Jian;1933;1964;1999;PA;undistinguished suit;High;MS20;X;;
1146210;Chief of Air Force;He Jian;1933;1964;1999;PA;air superiority doctrine;High;MS20;X;;
