U59;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;;;;;;;;
;Replacements;;;;;;;;;X;;;;;;;;
1146401;Head of State;Chen Jitang;1933;1964;1999;PA;autocratic charmer;High;MS40;X;;;;;;;;
1146402;Head of Government;Lin Yizhong;1933;1964;1999;PA;corporate suit;High;MS41;X;;;;;;;;
1146403;Foreign Minister;Hu Hanmin;1933;1964;1999;PA;great compromiser;High;9512;X;;;;;;;;
1146404;Minister of Armament;Ou Fangpu;1933;1964;1999;PA;resource industrialist;High;MS43;X;;;;;;;;
1146405;Minister of Security;He Luo;1933;1964;1999;PA;man of the people;High;MS44;X;;;;;;;;
1146406;Head of Military Intelligence;Chen Weizhou;1933;1964;1999;PA;industrial specialist;High;MS45;X;;;;;;;;
1146407;Chief of Staff;Miao Peinan;1933;1964;1999;PA;school of manoeuvre;High;L50242;X;;;;;;;;
1146408;Chief of Army;Yu Hanmou;1933;1964;1999;PA;decisive battle doctrine;High;L502010;X;;;;;;;;
1146409;Chief of Navy;Zhang Zhiying;1933;1964;1999;PA;open seas doctrine;High;MS46;X;;;;;;;;
1146410;Chief of Air Force;Huang Guangrui;1933;1964;1999;PA;naval aviation doctrine;High;L50374;X;;;;;;;;
1146411;Foreign Minister;Chen Jitang;1933;1964;1999;PA;Ideological Crusader;High;9512;X;;;;;;;;
