U61;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;
;Replacements;;;;;;;;;X;
1146101;Head of State;Song Zheyuan;1933;1964;1999;PA;stern imperialist;High;L50272;X;
1146102;Head of Government;Qin Dechun;1933;1964;1999;PA;silent workhorse;High;L50293;X;
1146103;Foreign Minister;Xiao Zhenying;1933;1964;1999;FA;great compromiser;Low;MS16;X;
1146104;Minister of Armament;Zhou Zuomin;1933;1964;1999;PA;administrative genius;High;MS13;X;
1146105;Minister of Security;Wang Yitang;1933;1964;1999;FA;crime fighter;Low;9479;X;
1146106;Head of Military Intelligence;Shi Yousan;1933;1964;1999;FA;double agent;Low;L50260;X;
1146107;Chief of Staff;Song Zheyuan;1933;1964;1999;PA;school of defence;High;L50272;X;
1146108;Chief of Army;Tong Linge;1933;1964;1999;PA;decisive battle doctrine;High;L50301;X;
1146109;Chief of Navy;Zhang Zizhong;1933;1964;1999;PA;undistinguished suit;High;L50016;X;
1146110;Chief of Air Force;Zhang Zizhong;1933;1964;1999;PA;air superiority doctrine;High;L50016;X;
1146111;Head of Government;Wang Kemin;1933;1964;1999;FA;backroom backstabber;Medium;9499;X;
1146112;Foreign Minister;Qin Dechun;1933;1964;1999;PA;general staffer;High;L50293;X;
1146113;Foreign Minister;Zhang Zizhong;1937;1964;1999;PA;ideological crusader;Medium;L50016;X;
1146114;Foreign Minister;Yuan Liang;1933;1964;1999;FA;apologetic clerk;Low;MS17;X;
1146115;Minister of Armament;Gao Lingwei;1933;1964;1999;FA;resource industrialist;Low;9521;X;
1146116;Minister of Security;Tong Linge;1933;1964;1999;PA;man of the people;High;L50301;X;
1146117;Head of Military Intelligence;Song Zheyuan;1937;1964;1999;PA;political specialist;High;L50272;X;
1146118;Chief of Army;Yin Tong;1933;1943;1943;FA;static defence doctrine;Low;MS18;X;
1146119;Chief of Navy;Yin Tong;1933;1943;1943;FA;open seas doctrine;Low;MS18;X;
1146120;Chief of Air Force;Yin Tong;1933;1943;1943;FA;air superiority doctrine;Low;MS18;X;
