U62;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;;;;;;
;Replacements;;;;;;;;;X;;;;;;
1146601;Head of State;Yang Hucheng;1933;1964;1999;PA;resigned generalissimo;High;L50340;X;;;;;;
1146602;Head of Government;Zhang Xueliang;1933;1964;1999;PA;old general;High;L50011;X;;;;;;
1146603;Foreign Minister;Shao Lizi;1933;1964;1999;PA;the cloak n dagger schemer;High;MS70;X;;;;;;
1146604;Minister of Armament;Xu Shifu;1933;1964;1999;PA;administrative genius;High;MS71;X;;;;;;
1146605;Minister of Security;Sun Weiru;1933;1964;1999;PA;efficient sociopath;High;L50270;X;;;;;;
1146606;Head of Military Intelligence;Li Tiancai;1933;1964;1999;PA;political specialist;High;MS72;X;;;;;;
1146607;Chief of Staff;Zhang Xueliang;1933;1964;1999;PA;school of psychology;High;L50011;X;;;;;;
1146608;Chief of Army;Wang Yizhe;1933;1964;1999;PA;decisive battle doctrine;High;L50319;X;;;;;;
1146609;Chief of Navy;Zhang Xueliang;1933;1964;1999;PA;undistinguished suit;High;L50011;X;;;;;;
1146610;Chief of Air Force;Zhang Xueliang;1933;1964;1999;PA;air superiority doctrine;High;L50011;X;;;;;;
