U69;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;x
35500;Head of Government;Tomás Domínguez Arévalo;1933;1964;1999;PA;Happy Amateur;High;M10048;X
35501;Foreign Minister;Tomás Domínguez Arévalo;1933;1964;1999;PA;Iron Fisted Brute;High;M10048;X
35502;Minister of Security;Tomás Domínguez Arévalo;1933;1964;1999;PA;Prince of Terror;High;M10099;X
35503;Chief of Navy;Tomás Domínguez Arévalo;1933;1964;1999;PA;Base Control Doctrine;High;M10048;X
35504;Chief of Air Force;Tomás Domínguez Arévalo;1933;1964;1999;PA;Air Superiority Doctrine;High;M10048;X
35505;Minister of Armament;Tomás Domínguez Arévalo;1933;1964;1999;PA;Air to Ground Proponent;High;M10271;X
35506;Minister of Security;Tomás Domínguez Arévalo;1933;1964;1999;PA;Prince of Terror;High;M10271;X
35507;Head of State;Javier de Borbón-Parma;1933;1964;1999;SC;Autocratic Charmer;High;M10034;X
35508;Head of Government;Manuel Fal Conde;1933;1964;1999;SC;Political Protege;High;M10049;X
35509;Foreign Minister;Manuel Fal Conde;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;M10049;X
35510;Minister of Security;Manuel Fal Conde;1933;1964;1999;SC;Man of the People;High;M10049;X
35511;Chief of Air Force;Manuel Fal Conde;1933;1964;1999;SC;Naval Aviation Doctrine;High;M10049;X
35512;Head of Military Intelligence;Ricardo de Rada;1933;1964;1999;SC;Logistics Specialist;High;M10166;X
35513;Chief of Staff;Ricardo de Rada;1933;1964;1999;SC;School of Mass Combat;High;M10166;X
35514;Chief of Army;Ricardo de Rada;1933;1964;1999;SC;Static Defence Doctrine;High;M10166;X
35515;Minister of Armament;José Enrique Varela Iglesias;1933;1964;1999;SC;Military Entrepreneur;High;M10014;X
35516;Chief of Staff;José Enrique Varela Iglesias;1939;1964;1999;PA;School of Fire Support;High;M10014;X
35517;Chief of Army;José Enrique Varela Iglesias;1939;1964;1999;PA;Guns and Butter Doctrine;High;M10014;X
