UAU;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;;;
;Replacements;;;;;;;;;X;;;
1148101;Head of State;Rajaram III;1933;1964;1999;SC;stern imperialist;High;MS210;X;;;
1148102;Head of Government;John Creery Tate;1933;1964;1999;SC;silent workhorse;High;MS211;X;;;
1148103;Foreign Minister;Sir D. G. Mackenzie;1933;1964;1999;SC;great compromiser;High;MS212;X;;;
1148104;Minister of Armament;Shahaji II;1933;1964;1999;SC;resource industrialist;High;MS213;X;;;
1148105;Minister of Security;Bhairav Signh Rao;1933;1964;1999;SC;silent lawyer;High;MS214;X;;;
1148106;Head of Military Intelligence;Raja Bahadur of Sawantwadi;1933;1964;1999;SC;dismal enigma;High;MS215;X;;;
1148107;Chief of Staff;John Creery Tate;1933;1964;1999;SC;school of defence;High;MS211;X;;;
1148108;Chief of Army;Mohammad Khan II;1933;1964;1999;SC;guns and butter doctrine;High;MS217;X;;;
1148109;Chief of Navy;Rajaram III;1933;1964;1999;SC;indirect approach doctrine;High;MS210;X;;;
1148110;Chief of Air Force;Rajaram III;1933;1964;1999;SC;air superiority doctrine;High;MS210;X;;;
