U37;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147101;Head of State;Chithira Thirunal Balarama Varma;1933;1964;1999;SC;benevolent gentleman;High;MS110;X
1147102;Head of Government;Sir C. P. Ramaswami Aiyar;1933;1964;1999;SC;silent workhorse;High;MS111;X
1147103;Foreign Minister;Sir Kurma Venkatareddi Naidu;1933;1964;1999;SC;great compromiser;High;MS113;X
1147104;Minister of Armament;R. K. Shanmukham Chetty;1933;1964;1999;SC;resource industrialist;High;MS114;X
1147105;Minister of Security;S. V. Ramamurthy;1933;1964;1999;SC;silent lawyer;High;MS115;X
1147106;Head of Military Intelligence;L. K. Ananthakrishna Iyer;1933;1964;1999;SC;political specialist;High;MS116;X
1147107;Chief of Staff;H. S. Steward;1933;1964;1999;SC;school of defence;High;MS117;X
1147108;Chief of Army;Parameshwaran Pillai;1933;1964;1999;SC;elastic defence doctrine;High;MS118;X
1147109;Chief of Navy;Chithira Thirunal Balarama Varma;1933;1964;1999;SC;indirect approach doctrine;High;MS110;X
1147110;Chief of Air Force;Chithira Thirunal Balarama Varma;1933;1964;1999;SC;air superiority doctrine;High;MS110;X
