UCH;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147601;Head of State;George Jiwajirao Scindia;1933;1964;1999;SC;stern imperialist;High;MS160;X
1147602;Head of Government;Sir Courtenay Latimer;1933;1964;1999;SC;silent workhorse;High;MS161;X
1147603;Foreign Minister;Syed Bashir Hussain Zaidi;1933;1964;1999;SC;great compromiser;High;MS162;X
1147604;Minister of Armament;Aditya Narayan Singh;1933;1964;1999;SC;resource industrialist;High;MS164;X
1147605;Minister of Security;Horilal Varma;1933;1964;1999;SC;silent lawyer;High;MS163;X
1147606;Head of Military Intelligence;Seth Gokulchand;1933;1964;1999;SC;dismal enigma;High;MS165;X
1147607;Chief of Staff;Sahibzada Yaqoob Khan;1933;1964;1999;SC;school of defence;High;MS166;X
1147608;Chief of Army;George Jiwajirao Scindia;1933;1964;1999;SC;guns and butter doctrine;High;MS160;X
1147609;Chief of Navy;George Jiwajirao Scindia;1933;1964;1999;SC;indirect approach doctrine;High;MS160;X
1147610;Chief of Air Force;George Jiwajirao Scindia;1933;1964;1999;SC;air superiority doctrine;High;MS160;X
