UCS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147801;Head of State;Umaid Singh;1933;1964;1999;SC;stern imperialist;High;MS180;X
1147802;Head of Government;Sir A.C. Lothian;1933;1964;1999;SC;silent workhorse;High;MS181;X
1147803;Foreign Minister;Thakur Anandpalji;1933;1964;1999;SC;great compromiser;High;MS182;X
1147804;Minister of Armament;Bhupal Singh;1933;1964;1999;SC;resource industrialist;High;MS183;X
1147805;Minister of Security;Sir Donald M. Field;1933;1964;1999;SC;silent lawyer;High;MS185;X
1147806;Head of Military Intelligence;Maharaja Ganga Singh of Bikaner;1933;1964;1999;SC;dismal enigma;High;MS187;X
1147807;Chief of Staff;Sir G. D. Ogilvie;1933;1964;1999;SC;school of defence;High;MS186;X
1147808;Chief of Army;Man Singh II;1933;1964;1999;SC;guns and butter doctrine;High;MS184;X
1147809;Chief of Navy;Umaid Singh;1933;1964;1999;SC;indirect approach doctrine;High;MS180;X
1147810;Chief of Air Force;Umaid Singh;1933;1964;1999;SC;air superiority doctrine;High;MS180;X
