UGS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147901;Head of State;Bhupinder Singh;1933;1964;1999;SC;powerhungry demagogue;High;MS190;X
1147902;Head of Government;Harold Wilberforce-Bell;1933;1964;1999;SC;silent workhorse;High;MS191;X
1147903;Foreign Minister;Jagatjit Singh;1933;1964;1999;SC;great compromiser;High;MS192;X
1147904;Minister of Armament;Sir Ranbir Singh;1933;1964;1999;SC;resource industrialist;High;MS193;X
1147905;Minister of Security;H. H. Lakshman Sen;1933;1964;1999;SC;silent lawyer;High;MS195;X
1147906;Head of Military Intelligence;Joginder Sen;1933;1964;1999;SC;dismal enigma;High;MS196;X
1147907;Chief of Staff;Sir George Van Baerle Gillan;1933;1964;1999;SC;school of defence;High;MS194;X
1147908;Chief of Army;Sir Pratap Singh;1933;1964;1999;SC;guns and butter doctrine;High;MS197;X
1147909;Chief of Navy;Bhupinder Singh;1933;1964;1999;SC;indirect approach doctrine;High;MS190;X
1147910;Chief of Air Force;Harinder Singh;1933;1964;1999;SC;air superiority doctrine;High;MS198;X
