UIC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1148001;Head of State;Sayajirao Gaekwad III;1933;1964;1999;SC;benevolent gentleman;High;MS200;X
1148002;Head of Government;Sir Manubhai Mehta;1933;1964;1999;SC;silent workhorse;High;MS201;X
1148003;Foreign Minister;James Leslie Weir;1933;1964;1999;SC;great compromiser;High;MS202;X
1148004;Minister of Armament;Sir V. T. Krishnamachari;1933;1964;1999;SC;resource industrialist;High;MS203;X
1148005;Minister of Security;Ghulam Khwaja Moin addin Khan;1933;1964;1999;SC;silent lawyer;High;MS204;X
1148006;Head of Military Intelligence;Vijaysinhji;1933;1964;1999;SC;dismal enigma;High;MS205;X
1148007;Chief of Staff;Sir Harold Arthur Stuart;1933;1964;1999;SC;school of defence;High;MS206;X
1148008;Chief of Army;Rana Natwarsinhji Bhavsinhji;1933;1964;1999;SC;guns and butter doctrine;High;MS207;X
1148009;Chief of Navy;Sayajirao Gaekwad III;1933;1964;1999;SC;indirect approach doctrine;High;MS200;X
1148010;Chief of Air Force;Sayajirao Gaekwad III;1933;1964;1999;SC;air superiority doctrine;High;MS200;X
