UPS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1148301;Head of State;Pratap Chandra Bhanj Deo;1933;1964;1999;SC;benevolent gentleman;High;MS230;X
1148302;Head of Government;Sir Arthur Stanley Meek;1933;1964;1999;SC;silent workhorse;High;MS231;X
1148303;Foreign Minister;Sir John Austen Hubback;1933;1964;1999;SC;great compromiser;High;MS232;X
1148304;Minister of Armament;Sir Basu Deb Sudhal Dev;1933;1964;1999;SC;resource industrialist;High;MS233;X
1148305;Minister of Security;Narayan Singh Deo;1933;1964;1999;SC;silent lawyer;High;MS234;X
1148306;Head of Military Intelligence;Brajendra Chandra Singh;1933;1964;1999;SC;dismal enigma;High;MS235;X
1148307;Chief of Staff;Sir Francis Tuker;1933;1964;1999;SC;school of defence;High;MS236;X
1148308;Chief of Army;Jagaddipendra Narayan;1933;1964;1999;SC;guns and butter doctrine;High;MS237;X
1148309;Chief of Navy;Pratap Chandra Bhanj Deo;1933;1964;1999;SC;indirect approach doctrine;High;MS230;X
1148310;Chief of Air Force;Pratap Chandra Bhanj Deo;1933;1964;1999;SC;air superiority doctrine;High;MS230;X
