URO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147701;Head of State;Khengarji III;1933;1964;1999;SC;stern imperialist;High;MS170;X
1147702;Head of Government;John de la Hay Gordon;1933;1964;1999;SC;silent workhorse;High;MS171;X
1147703;Foreign Minister;Sir Courtenay Latimer;1933;1964;1999;SC;great compromiser;High;MS172;X
1147704;Minister of Armament;Bhagvatsinhji;1933;1964;1999;SC;administrative genius;High;MS173;X
1147705;Minister of Security;John Monteith;1933;1964;1999;SC;silent lawyer;High;MS174;X
1147706;Head of Military Intelligence;Edmund Currey Gibson;1933;1964;1999;SC;dismal enigma;High;MS175;X
1147707;Chief of Staff;Sir Ivo L. B. Vesey;1933;1964;1999;SC;school of defence;High;MS176;X
1147708;Chief of Army;Sir Krishna Kumar Sinhji;1933;1964;1999;SC;guns and butter doctrine;High;MS177;X
1147709;Chief of Navy;Khengarji III;1933;1964;1999;SC;indirect approach doctrine;High;MS170;X
1147710;Chief of Air Force;Khengarji III;1933;1964;1999;SC;air superiority doctrine;High;MS170;X
