USN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147401;Head of State;Mir Ahmad Yar Khan;1933;1964;1999;SC;stern imperialist;High;MS140;X
1147402;Head of Government;Nawab Sir Shams Shah;1933;1964;1999;SC;silent workhorse;High;MS141;X
1147403;Foreign Minister;Sir E. B. Wakefield;1933;1964;1999;SC;great compromiser;High;MS142;X
1147404;Minister of Armament;Sir R. E. Leslie Wingate;1933;1964;1999;SC;resource industrialist;High;MS143;X
1147405;Minister of Security;Nawab Sir Shams Shah;1933;1964;1999;SC;silent lawyer;High;MS141;X
1147406;Head of Military Intelligence;Nawab Sir Shams Shah;1933;1964;1999;SC;dismal enigma;High;MS141;X
1147407;Chief of Staff;Sir Henry Duffield Craik;1933;1964;1999;SC;school of manoeuvre;High;MS144;X
1147408;Chief of Army;Habibullah Khan Khattak;1933;1964;1999;SC;guns and butter doctrine;High;MS145;X
1147409;Chief of Navy;Mir Ahmad Yar Khan;1933;1964;1999;SC;indirect approach doctrine;High;MS140;X
1147410;Chief of Air Force;Mir Ahmad Yar Khan;1933;1964;1999;SC;air superiority doctrine;High;MS140;X
