UTC;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1147501;Head of State;Nasir ul-Mulk;1933;1964;1999;SC;stern imperialist;High;MS150;X
1147502;Head of Government;Sir George Cunningham;1933;1964;1999;SC;silent workhorse;High;MS151;X
1147503;Foreign Minister;Miangul Abdul Wadud;1933;1964;1999;SC;great compromiser;High;MS152;X
1147504;Minister of Armament;Hazrat Ali;1933;1964;1999;SC;resource industrialist;High;MS153;X
1147505;Minister of Security;Muhammad Khan Zaman Khan;1933;1964;1999;SC;silent lawyer;High;MS154;X
1147506;Head of Military Intelligence;Ross Henry Donald Lowis;1933;1964;1999;SC;dismal enigma;High;MS155;X
1147507;Chief of Staff;Muzaffar ul-Mulk;1933;1964;1999;SC;school of defence;High;MS156;X
1147508;Chief of Army;Shah Jahan Khan;1933;1964;1999;SC;guns and butter doctrine;High;MS157;X
1147509;Chief of Navy;Muzaffar ul-Mulk;1933;1964;1999;SC;indirect approach doctrine;High;MS156;X
1147510;Chief of Air Force;Muzaffar ul-Mulk;1933;1964;1999;SC;air superiority doctrine;High;MS156;X
