UTL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X;;;
;Replacements;;;;;;;;;X;;;
1148201;Head of State;Yashwant Rao Holkar II;1933;1964;1999;SC;stern imperialist;High;MS220;X;;;
1148202;Head of Government;Sir Malcolm Hailey;1933;1964;1999;SC;silent workhorse;High;MS221;X;;;
1148203;Foreign Minister;Sir Vir Singh Ju Deo;1933;1964;1999;SC;great compromiser;High;MS222;X;;;
1148204;Minister of Armament;Gulab Singh Ju Deo;1933;1964;1999;SC;resource industrialist;High;MS223;X;;;
1148205;Minister of Security;Sir Vir Singh Ju Deo;1933;1964;1999;SC;silent lawyer;High;MS222;X;;;
1148206;Head of Military Intelligence;Sir Kenneth S. Fitze;1933;1964;1999;SC;dismal enigma;High;MS224;X;;;
1148207;Chief of Staff;Sir George Darell Jeffreys;1933;1964;1999;SC;school of defence;High;MS225;X;;;
1148208;Chief of Army;Nawab Hamidullah Khan;1933;1964;1999;SC;guns and butter doctrine;High;MS226;X;;;
1148209;Chief of Navy;Yashwant Rao Holkar II;1933;1964;1999;SC;indirect approach doctrine;High;MS220;X;;;
1148210;Chief of Air Force;Yashwant Rao Holkar II;1933;1964;1999;SC;air superiority doctrine;High;MS220;X;;;
