PRK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
735001;Head of State;Kim Il Sung;1933;1964;1999;LE;Powerhungry Demagogue;Undying;M579001;X
735002;Head of Government;Kim Il Sung;1933;1964;1999;LE;Ambitious Union Boss;Undying;M579001;X
735003;Foreign Minister;Nam Il;1933;1964;1999;LE;General Staffer;Medium;M579003;X
735004;Minister of Armament;Cho Man-sik;1933;1964;1999;LE;laissez-faire capitalist;Medium;M578005;X
735005;Minister of Security;Kim Il Sung;1933;1964;1999;LE;Prince of Terror;Very High;M579001;X
735006;Head of Military Intelligence;Xiao Jinguang;1933;1964;1999;LE;Logistics Specialist;Very Low;M579006;X
735007;Chief of Staff;Song Shilun;1933;1964;1999;LE;School of Fire Support;Medium;M579007;X
735008;Chief of Army;Kim Il Sung;1933;1964;1999;LE;Decisive Battle Doctrine;High;M579001;X
735009;Chief of Navy;Liu Xiyuan;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M579009;X
735010;Chief of Air Force;Li Kenong;1933;1964;1999;LE;Carpet Bombing Doctrine;Medium;M579010;X
735011;Head of State;Yi Tong-whi;1933;1964;1999;SD;Barking Buffoon;High;M578014;X
735012;Head of Government;Kim Chang Kim;1933;1964;1999;SD;Flamboyant Tough Guy;High;M578016;X
735013;Foreign Minister;Kim Yong Chol;1933;1964;1999;SD;Great Compromiser;Medium;M579013;X
735014;Minister of Armament;Park Hyong Yong;1933;1964;1999;SD;Resource Industrialist;Medium;M578012;X
735015;Minister of Security;Chi Chun Chung;1933;1964;1999;SD;Compassionate Gentleman;Very High;M578017;X
735016;Head of Military Intelligence;Youn Min Ho;1933;1964;1999;LE;Technical Specialist;Very Low;M579016;X
735017;Chief of Staff;Nam Il;1933;1964;1999;SD;School of Defence;Medium;M579003;X
735018;Chief of Army;Kim Il-chol;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M579018;X
735019;Chief of Navy;Ryoo Jung Sip;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M579019;X
735020;Chief of Air Force;Park Min Kyung;1933;1964;1999;SD;Naval Aviation Doctrine;Medium;M579020;X
735021;Minister of Armament;Choe Yong-gon;1933;1964;1999;LE;military entrepreneur;High;MS330;X
735022;Minister of Security;Pak Il-u;1933;1964;1999;LE;man of the people;High;MS331;X
735023;Minister of Security;Kim Wonbong;1933;1964;1999;ST;silent lawyer;High;MS332;X
735024;Foreign Minister;Pak Hon-yong;1933;1964;1999;LE;General Staffer;High;MS333;X
735025;Minister of Armament;Kim Chaek;1933;1964;1999;LE;Planned economy proponent;High;MS334;X
735026;Minister of Armament;Choe Chang-ik;1933;1964;1999;LE;administrative genius;High;MS335;X
735027;Chief of Staff;Kang Kon;1933;1964;1999;LE;school of mass combat;High;MS336;X
735028;Head of Military Intelligence;Kim Yong-bom;1933;1964;1999;LE;industrial specialist;High;MS337;X
735029;Chief of Army;Kang Kon;1933;1964;1999;LE;guns and butter doctrine;High;MS336;X
735030;Chief of Navy;Han Il-mu;1933;1964;1999;LE;indirect approach doctrine;High;MS338;X
735031;Chief of Air Force;Wang Yong;1933;1964;1999;LE;air superiority doctrine;High;MS339;X
735032;Head of Military Intelligence;Kim Chang-man;1933;1964;1999;LE;technical specialist;High;MS340;X
735033;Chief of Army;Kim Chaek;1933;1964;1999;LE;decisive battle doctrine;High;MS334;X
735034;Head of State;Kim Tu-bong;1933;1964;1999;LWR;popular figurehead;High;MS341;X
