U52;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
1727;Construcciones Aeronauticas SA;T3100;3;1923;2000;aeronautics;bomber_design;avionics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1724;Hispano Suiza;T3910;5;1904;1946;aeronautics;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1726;Automóviles Elizalde;T_CAT_Elizalde;3;1908;1972;aeronautics;vehicle_engineering;mechanics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1725;S.A Cros;T3101;2;1936;2000;chemistry;management;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1700;Instituto Químico de Sarriá;100321;4;1916;2000;chemistry;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1702;Barcelona Traction;T1702;5;1930;1948;industrial_engineering;general_equipment;nuclear_engineering;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1703;Colonia Sedo;T1703;4;1930;1980;mechanics;management;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1704;La Maquinista Terrestre y Marítima;T1704;6;1930;1970;artillery;naval_artillery;naval_engineering;rocketry;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1705;Domingo Batet Mestres;T1705;5;1930;1970;large_unit_tactics;decentralized_execution;combined_arms_focus;large_unit_focus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1706;Electroquímica de Flix;T1706;5;1930;1970;chemistry;technical_efficiency;nuclear_engineering;mechanics;industrial_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1707;Mari Pepa Colomer;T1707;1;1930;1970;individual_courage;fighter_tactics;aircraft_testing;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1708;Antoni Esteve i Subirana;T1708;4;1930;1970;chemistry;mathematics;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1710;Ramón Perera Comorera;T1710;3;1930;1970;management;bomber_tactics;general_equipment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1711;Servei Aeronautica de la Generalitat;T1711;4;1930;1970;aircraft_testing;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1712;Industria de guerra de Cataluña;T1712;5;1999;2000;artillery;mechanics;rocketry;management;industrial_engineering;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1713;La Electra Industrial;T1713;3;1930;1970;industrial_engineering;technical_efficiency;management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1714;Esteban Terradas i Illa;T_SPA_Esteban;7;1930;1950;mathematics;mechanics;industrial_engineering;chemistry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1715;Josep Comas Solá;T1715;2;1930;1937;mathematics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1716;Jaume Raventós i Pijoan;T1716;3;1930;1982;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1717;Josep Canudas i Busquets;T1717;6;1930;1975;aircraft_testing;bomber_tactics;aeronautics;fighter_tactics;piloting;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1718;Frederic Duran i Jordà;T1718;4;1930;1957;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1719;Universitat de Valencia;T1719;3;1930;1970;chemistry;electronics;nuclear_physics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1722;Fernando Rubió i Tudurí;T1722;2;1930;1990;chemistry;medicine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
1723;Buenaventura Durruti;T_CAT_Buenaventura_Durruti;4;1930;1937;decentralized_execution;individual_courage;combined_arms_focus;small_unit_tactics;training;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
