MODIFIER;INF;CAV;MOT;MECH;L ARM;ARM;PARA;MAR;MTN;GAR;HQ;MIL;MR F;INT F;STR B;TAC B;NAV B;CAS;TRA P;FL B;FL R;BB;CL;CA;BC;DD;CV;CVE;SUB;NSUB;TRA;CVL;R INT;rsv_33;rsv_34;rsv_35;rsv_36;rsv_37;rsv_38;rsv_39;rsv_40;X;Used By
ATT_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
ATT_BLIZZARD;-95;-95;-95;-95;-95;-95;-90;-90;-80;-95;-95;-95;-100;-100;-100;-100;-100;-100;-100;-80;0;-80;-80;-80;-80;-80;-80;-100;-80;-80;-80;-80;-100;0;0;0;0;0;0;0;0;X;All units
ATT_SNOW;-85;-85;-85;-85;-85;-85;-80;-80;-35;-85;-85;-85;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-25;-85;-10;-10;-25;-25;-50;0;0;0;0;0;0;0;0;X;All units
ATT_FROZEN;-45;-45;-45;-40;-40;-40;-40;-40;-5;-45;-45;-45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
ATT_RAIN;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-20;-35;-35;-35;-35;-35;-35;-35;0;0;-10;-10;-10;-10;-10;-10;-70;-5;-5;-10;-10;-35;0;0;0;0;0;0;0;0;X;All units
ATT_STORM;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-55;-100;-100;-100;-100;-100;-100;-100;-80;0;-50;-50;-50;-50;-50;-50;-100;-50;-50;-50;-50;-100;0;0;0;0;0;0;0;0;X;All units
ATT_MUDDY;-80;-70;-90;-70;-70;-70;-65;-50;-65;-80;-90;-80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_NIGHT;-70;-70;-70;-70;-70;-70;-60;-60;-60;-70;-70;-70;-80;-80;-80;-80;-80;-80;-80;0;0;-50;-50;-50;-50;-50;-50;-80;15;15;-50;-50;-80;0;0;0;0;0;0;0;0;X;All units
ATT_PLAIN;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;-33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_DESERT;-53;-60;-46;-43;-43;-43;-53;-53;-53;-53;-53;-53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_MOUNTAIN;-67;-67;-77;-90;-90;-93;-60;-60;-36;-67;-67;-63;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_HILL;-50;-50;-53;-60;-60;-60;-43;-46;-33;-50;-50;-46;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_FOREST;-50;-46;-53;-60;-60;-60;-46;-43;-46;-50;-50;-46;-35;-35;-35;-35;-35;-35;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;-35;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_JUNGLE;-87;-87;-93;-97;-97;-97;-60;-46;-60;-87;-93;-83;-35;-35;-35;-35;-35;-35;-35;-35;-35;0;0;0;0;0;0;0;0;0;0;0;-35;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_SWAMP;-80;-77;-80;-83;-83;-83;-70;-46;-67;-80;-80;-77;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_URBAN;-63;-67;-63;-80;-80;-83;-53;-60;-60;-63;-63;-63;-25;-25;-25;-25;-25;-25;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;-25;0;0;0;0;0;0;0;0;X;Land and Air units
ATT_RIVER;-40;-40;-60;-60;-60;-60;-30;-15;-30;-40;-40;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
ATT_SHORE;-60;-60;-60;-85;-85;-85;-45;-20;-45;-60;-70;-60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
ATT_FORT;-30;-30;-30;-40;-40;-40;-25;-20;-40;-30;-30;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
DEF_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
DEF_BLIZZARD;-90;-90;-90;-90;-90;-90;-85;-85;-75;-90;-90;-90;-100;-100;-100;-100;-100;-100;-100;-80;0;-80;-80;-80;-80;-80;-80;-100;-80;-80;-80;-80;-100;0;0;0;0;0;0;0;0;X;All units
DEF_SNOW;-75;-75;-75;-75;-75;-75;-70;-70;-25;-75;-75;-75;-50;-50;-50;-50;-50;-50;-50;0;0;-25;-25;-25;-25;-25;-25;-85;-10;-10;-25;-25;-50;0;0;0;0;0;0;0;0;X;All units
DEF_FROZEN;-25;-25;-25;-25;-25;-25;-20;-20;5;-25;-25;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;All units
DEF_RAIN;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-15;-35;-35;-35;-35;-35;-35;-35;0;0;-10;-10;-10;-10;-10;-10;-70;-5;-5;-10;-10;-35;0;0;0;0;0;0;0;0;X;All units
DEF_STORM;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-45;-100;-100;-100;-100;-100;-100;-100;-80;0;-50;-50;-50;-50;-50;-50;-100;-50;-50;-50;-50;-100;0;0;0;0;0;0;0;0;X;All units
DEF_MUDDY;-20;-20;-20;-15;-15;-15;-15;-5;-15;-20;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land and Air units
DEF_NIGHT;-60;-60;-60;-60;-60;-60;-50;-50;-50;-60;-60;-60;-80;-80;-80;-80;-80;-80;-80;0;0;-50;-50;-50;-50;-50;-50;-80;15;15;-50;-50;-80;0;0;0;0;0;0;0;0;X;All units
DEF_PLAIN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_DESERT;-20;-30;-15;-5;-5;-5;-20;-20;-20;-15;-20;-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_MOUNTAIN;-10;-10;-25;-45;-45;-45;0;0;40;-5;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_HILL;-10;-10;-15;-25;-25;-25;-5;-5;5;-10;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_FOREST;-10;-5;-15;-25;-25;-25;-5;0;-5;-5;-10;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_JUNGLE;-50;-50;-60;-65;-65;-65;-20;20;-10;-45;-70;-40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_SWAMP;-35;-30;-35;-40;-40;-40;-25;5;-20;-30;-35;-25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
DEF_URBAN;-5;-10;-5;-30;-30;-35;10;0;0;0;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_CLEAR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_BLIZZARD;-80;-70;-85;-85;-85;-85;-70;-70;-60;-80;-80;-80;-35;-35;-35;-35;-35;-35;-35;0;0;-30;-30;-30;-30;-30;-30;-55;-30;-30;-30;-30;-35;0;0;0;0;0;0;0;0;X;Land units
MOV_SNOW;-35;-35;-35;-35;-35;-35;-35;-35;-5;-35;-35;-35;-10;-10;-10;-10;-10;-10;-10;0;0;-10;-10;-10;-10;-10;-10;-20;-10;-10;-10;-10;-10;0;0;0;0;0;0;0;0;X;Land units
MOV_FROZEN;-30;-25;-20;-20;-20;-20;-30;-30;0;-30;-30;-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;X;Land units
MOV_RAIN;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-25;-5;-5;-5;-5;-5;-5;-5;0;0;-5;-5;-5;-5;-5;-5;-15;-5;-5;-5;-5;-5;0;0;0;0;0;0;0;0;X;Land units
