;ENG;FRA;ITA;SPA;GER;POL;RUS;RUS;;;X;
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);(Embarked);(Embarked);;;x;
PROV1;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;Reykjavнk;Рейкьявик;Рейкьявик;;;X;
PROV2;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;Tуrshavn;Торсхавн;Торсхавн;;;X;
PROV3;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Stornoway;Сторноуэй;Сторноуэй;;;X;
PROV4;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;al-Gurdaqa;Аль Гурдака;Хургада;;;X;
PROV5;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Kirkwall;Кирквол;Киркволл;;;X;
PROV6;Inverness;Inverness;Inverness;Inverness;Inverness;Inverness;Инвернесс;Инвернесс;;;X;
PROV7;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Aberdeen;Аберден;Аберден;;;X;
PROV8;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Glasgow;Глазго;Глазго;;;X;
PROV9;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Dumfries;Дамфри;Дамфри;;;X;
PROV10;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Sunderland;Сандерленд;Сандерленд;;;X;
PROV11;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Kingston upon Hull;Кингстон апн Халл;Кингстон апн Халл;;;X;
PROV12;Manchester;Manchester;Manchester;Manchester;Manchester;Manchester;Манчестер;Манчестер;;;X;
PROV13;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Sheffield;Шеффилд;Шеффилд;;;X;
PROV14;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Birmingham;Бирмингем;Бирмингем;;;X;
PROV15;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Cardiff;Кардифф;Кардифф;;;X;
PROV16;Oxford;Oxford;Oxford;Oxford;Oxford;Oxford;Оксфорд;Оксфорд;;;X;
PROV17;Norwich;Norwich;Norwich;Norwich;Norwich;Norwich;Норвич;Норвич;;;X;
PROV18;Calais;Calais;Calais;Calais;Calais;Calais;Кале;Кале;;;X;
PROV19;London;London;London;London;London;London;Лондон;Лондон;;;X;
PROV20;Dover;Dover;Dover;Dover;Dover;Dover;Дувр;Дувр;;;X;
PROV21;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Portsmouth;Портсмут;Портсмут;;;X;
PROV22;Bristol;Bristol;Bristol;Bristol;Bristol;Bristol;Бристоль;Бристоль;;;X;
PROV23;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Plymouth;Плимут;Плимут;;;X;
PROV24;Bre;Bre;Bre;Bre;Bre;Bre;Бре;Брей;;;X;
PROV25;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Corcaigh;Корк;Корк;;;X;
PROV26;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Gaillimh;Гайллим;Гайллим;;;X;
PROV27;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Leitir Ceanainn;Лейтир Кеннен;Лейтир Кеннейн;;;X;
PROV28;Belfast;Belfast;Belfast;Belfast;Belfast;Belfast;Белфаст;Белфаст;;;X;
PROV29;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Londonderry;Лондондерри;Лондондерри;;;X;
PROV30;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Baile Бtha Cliath;Байле ба Клит;Дублин;;;X;
PROV31;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Il-Belt Valletta;Иль Бельт Валетта;Валетта;;;X;
PROV32;Brest;Brest;Brest;Brest;Brest;Brest;Брест;Брест;;;X;
PROV33;Rennes;Rennes;Rennes;Rennes;Rennes;Rennes;Ренн;Ренн;;;X;
PROV34;Lorient;Lorient;Lorient;Lorient;Lorient;Lorient;Лорьян;Лорьян;;;X;
PROV35;Nantes;Nantes;Nantes;Nantes;Nantes;Nantes;Нант;Нант;;;X;
PROV36;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Le Mans;Ле Манс;Ле Манс;;;X;
PROV37;Avranches;Avranches;Avranches;Avranches;Avranches;Avranches;Авранш;Авранш;;;X;
PROV38;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Cherbourg;Шербур;Шербур;;;X;
PROV39;Caen;Caen;Caen;Caen;Caen;Caen;Кан;Кан;;;X;
PROV40;Argentan;Argentan;Argentan;Argentan;Argentan;Argentan;Аржентан;Аржентан;;;X;
PROV41;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Le Havre;Гавр;Гавр;;;X;
PROV42;Amiens;Amiens;Amiens;Amiens;Amiens;Amiens;Амьен;Амьен;;;X;
PROV43;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Dunkerque;Дюнкерк;Дюнкерк;;;X;
PROV44;Lille;Lille;Lille;Lille;Lille;Lille;Лилль;Лилль;;;X;
PROV45;Brugge;Brugge;Brugge;Brugge;Brugge;Brugge;Брюгге;Брюгге;;;X;
PROV46;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Rotterdam;Роттердам;Роттердам;;;X;
PROV47;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Amsterdam;Амстердам;Амстердам;;;X;
PROV48;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Middelburg;Миддельбург;Миддельбург;;;X;
PROV49;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Eindhoven;Эйндховен;Эйндховен;;;X;
PROV50;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Antwerpen;Антверпен;Антверпен;;;X;
PROV51;Brussel;Brussel;Brussel;Brussel;Brussel;Brussel;Брюссель;Брюссель;;;X;
PROV52;Mons;Mons;Mons;Mons;Mons;Mons;Монс;Монс;;;X;
PROV53;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Prachatice;Прахатице;;;X;
PROV54;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Compiegne;Компьень;Компьень;;;X;
PROV55;Reims;Reims;Reims;Reims;Reims;Reims;Реймс;Реймс;;;X;
PROV56;Paris;Paris;Paris;Paris;Paris;Paris;Париж;Париж;;;X;
PROV57;Chartres;Chartres;Chartres;Chartres;Chartres;Chartres;Шартр;Шартр;;;X;
