From;To;Type;Through;Comment;;;;;;
;;;;;;;;;;
78;47;Sea;2472;# Groningen-Amsterdam;;;;;;
254;3445;Sea;2468;# Kerc-Krymskaja;;;;;;
1353;1351;Sea;2146;# Singapura-Johor Bahru;;;;;;
195;3286;Sea;2483;# Kuressaare-Haapsalu;;;;;;
103;141;Sea;2491;# Maarianhamina-Turku;;;;;;
97;3304;Sea;2479;# Kalmar-Borgholm;;;;;;
3298;2276;Sea;2388;# Harstad-Narvik;;;;;;
3054;5;Sea;2402;# Thurso-Kirkwall;;;;;;
7131;1720;Sea;2413;# Saint Peter Port-Saint Helier;;;;;;
526;524;Sea;2441;# Messina-Reggio Calabria;;;;;;
863;858;Sea;4108;# Ushuaia-Rio Gallegos;;;;;;
842;865;Sea;4109;# Punta Arenas-Porvenir;;;;;;
3350;293;Sea;2476;# Naestved-Odense;;;;;;
3394;195;Sea;2483;# Kardla-Kuressaare;;;;;;
3394;3286;Sea;2483;# Kardla-Haapsalu;;;;;;
393;7316;River;2448;# Kerkyra-Parga;;;;;;
2625;2872;Sea;2448;# Argostoli-Agrinio;;;;;;
400;7318;River;2464;# Chalkida-Livadeia;;;;;;
1190;3065;Sea;2193;# Fukuoka-shi-Yamaguchi-shi;;;;;;
3064;1187;Sea;2193;# Takamatsu-shi-Osaka-shi;;;;;;
1188;1189;Sea;2193;# Matsuyama-Hiroshima;;;;;;
2899;901;River;0;al-Qantara - Bur Sa'id;;;;;;
2899;900;River;0;al-Qantara - as-Suways;;;;;;
4605;4606;Sea;2453;;;;;;;
2657;810;River;0;Tucupita - Maturín;;;;;;
2657;3871;River;0;Tucupita - San Félix;;;;;;
888;4288;Sea;2575;# Ciudad de Panama-La Chorrera;;;;;;
888;4289;Sea;2575;;;;;;;
4287;4288;Sea;2575;;;;;;;
4287;4289;Sea;2575;;;;;;;
3878;3879;Sea;4110;# Castro-Osorno;;;;;;
2476;2473;Canal;90;The Kiel Canal;;;;;;
#4258;4236;Canal;3012;Nicaragua Canal;;;;;;
6464;6465;Sea;6575;# Ananpolis-Easton;;;;;;
7043;48;River;0;#Terneuzen-Middelburg;;;;;;
1320;1321;Sea;2158;;;;;;;
866;5456;Sea;1999;;;;;;;
3082;3083;Sea;5710;;;;;;;
1244;1245;River;0;;;;;;;
400;402;Sea;2464;;;;;;;
394;2872;Sea;5467;;;;;;;
;;;;;;;;;;
# rivers;;;;;;;;;;
;;;;;;;;;;
# scandinavia;;;;;;;;;;
98;3300;river;0;Göteborg - Uddevalla;;;;;;
98;6532;river;0;Göteborg - Amal;;;;;;
99;105;river;0;Skövde - Örebro;;;;;;
99;3312;river;0;Skövde - Kristinehamn;;;;;;
3309;101;river;0;Södertälje - Stockholm;;;;;;
106;3312;river;0;Karlstad - Kristinehamn;;;;;;
106;3313;river;0;Karlstad - Borlänge;;;;;;
6531;3313;river;0;Mora - Borlänge;;;;;;
115;3313;river;0;Falun - Borlänge;;;;;;
115;3311;river;0;Falun - Västeras;;;;;;
113;3311;river;0;Gävle - Västeras;;;;;;
113;2629;river;0;Gävle - Uppsala;;;;;;
119;3317;river;0;Sundsvall - Örnsköldsvik;;;;;;
6529;3317;river;0;Solleftea - Örnsköldsvik;;;;;;
6529;7451;river;0;Solleftea - Asele;;;;;;
6528;7451;river;0;Dorotea - Asele;;;;;;
6528;3318;river;0;Dorotea - Vilhelmina;;;;;;
6530;3318;river;0;Strömsund - Vilhelmina;;;;;;
7452;3318;river;0;Storuman - Vilhelmina;;;;;;
7452;7451;river;0;Storuman - Asele;;;;;;
3319;7451;river;0;Lycksele - Asele;;;;;;
121;7451;river;0;Umeå - Asele;;;;;;
121;3317;river;0;Umeå - Örnsköldsvik;;;;;;
127;3320;river;0;Luleå - Skelleftea;;;;;;
127;3319;river;0;Luleå - Lycksele;;;;;;
3319;7454;river;0;Lycksele - Gällivare;;;;;;
3321;7454;river;0;Arjeplog - Gällivare;;;;;;
3321;126;river;0;Arjeplog - Kiruna;;;;;;
7169;126;river;0;Karesuando - Kiruna;;;;;;
7169;7454;river;0;Karesuando - Gällivare;;;;;;
7169;3322;river;0;Karesuando - Kalix;;;;;;
7169;7153;river;0;Karesuando - Tornio;;;;;;
7169;7152;river;0;Karesuando - Kittilä;;;;;;
7169;3339;river;0;Karesuando - Hetta;;;;;;
3322;7153;river;0;Kalix - Tornio;;;;;;
7170;3340;river;0;Karasjok - Inari;;;;;;
7171;3340;river;0;Hammerfest - Inari;;;;;;
7171;3299;river;0;Hammerfest - Kirkenes;;;;;;
;;;;;;;;;;
# England;;;;;;;;;;
6;3047;river;0;Inverness - Elgin;;;;;;
6;2279;river;0;Inverness - Dumbarton;;;;;;
8;3044;river;0;Glasgow - Paisley;;;;;;
2279;3044;river;0;Dumbarton - Paisley;;;;;;
11;3039;river;0;Kingston upon Hull - Leeds;;;;;;
11;13;river;0;Kingston upon Hull - Sheffield;;;;;;
1164;13;river;0;Lincoln - Sheffield;;;;;;
3036;13;river;0;Coventry - Sheffield;;;;;;
3037;13;river;0;Stoke-on-Trent - Sheffield;;;;;;
1164;17;river;0;Lincoln - Norwich;;;;;;
1164;3035;river;0;Lincoln - Cambridge;;;;;;
3036;3035;river;0;Coventry - Cambridge;;;;;;
3036;3033;river;0;Coventry - Luton;;;;;;
3032;3033;river;0;Swindon - Luton;;;;;;
3032;19;river;0;Swindon - London;;;;;;
21;19;river;0;Portsmouth - London;;;;;;
20;19;river;0;Dover - London;;;;;;
;;;;;;;;;;
# Ireland;;;;;;;;;;
3051;26;river;0;Nas na Riogh - Gaillimh;;;;;;
3048;26;river;0;Port Lairge - Gaillimh;;;;;;
3048;3050;river;0;Port Lairge - Inis;;;;;;
3049;3050;river;0;Luimneach - Inis;;;;;;
;;;;;;;;;;
# Spain;;;;;;;;;;
3204;3203;river;0;Baza - Linares;;;;;;
2618;3203;river;0;Jaen - Linares;;;;;;
2618;3202;river;0;Jaen - Andujar;;;;;;
3201;3202;river;0;Ecija - Andujar;;;;;;
3201;351;river;0;Ecija - Córdoba;;;;;;
347;351;river;0;Sevilla - Córdoba;;;;;;
347;3199;river;0;Sevilla - Valverde del Camino;;;;;;
347;346;river;0;Sevilla - Huelva;;;;;;
3200;346;river;0;Jerez de la Frontera - Huelva;;;;;;
1563;346;river;0;Faro - Huelva;;;;;;
345;346;river;0;Beja - Huelva;;;;;;
345;3212;river;0;Beja - Serpa;;;;;;
