8021;Total Provinces;ID;ENG;Region
Latitude;Longitude;;;
0.00000000;0.00000000;PROV0;(Embarked);Embarked
63.15248611;-21.05238056;PROV1;Reykjavík;Iceland
62.01770833;-6.77187778;PROV2;Tórshavn;Iceland
58.21600000;-6.38593056;PROV3;Stornoway;Scotland
27.25777778;33.81166667;PROV4;al-Gurdaqa;Egypt
58.98155681;-2.95684351;PROV5;Kirkwall;Scotland
57.47669444;-4.23145278;PROV6;Inverness;Scotland
57.14749167;-2.09539167;PROV7;Aberdeen;Scotland
55.86562778;-4.25722222;PROV8;Glasgow;Scotland
55.06900000;-3.60778056;PROV9;Dumfries;Scotland
54.90445000;-1.38145278;PROV10;Sunderland;England
53.76638261;-0.33198581;PROV11;Kingston upon Hull;England
53.48071111;-2.23437500;PROV12;Manchester;England
53.38305556;-1.46479444;PROV13;Sheffield;England
52.48296111;-1.89359167;PROV14;Birmingham;England
51.48130833;-3.18049722;PROV15;Cardiff;England
51.08560833;-1.08360278;PROV16;Oxford;England
52.62810000;1.29935000;PROV17;Norwich;England
50.95129001;1.85868601;PROV18;Calais;France
51.50015278;-0.12623611;PROV19;London;England
51.12970556;1.31113611;PROV20;Dover;England
50.79891389;-1.09116389;PROV21;Portsmouth;England
51.45531389;-2.59190278;PROV22;Bristol;England
50.03426944;-4.13431944;PROV23;Plymouth;England
53.20090301;-6.11107411;PROV24;Bre;Ireland
51.89689171;-8.48631571;PROV25;Corcaigh;Ireland
53.27055881;-9.05666771;PROV26;Gaillimh;Ireland
54.95583921;-7.73427871;PROV27;Leitir Ceanainn;Ireland
54.59728501;-5.93012001;PROV28;Belfast;Ireland
54.99661241;-7.30857481;PROV29;Londonderry;Ireland
53.34980531;-6.26030971;PROV30;Baile Átha Cliath;Ireland
35.89890851;14.51455281;PROV31;Il-Belt Valletta;Italy
48.39039401;-4.48607601;PROV32;Brest;France
48.11726601;-1.67779261;PROV33;Rennes;France
47.74825241;-3.37024491;PROV34;Lorient;France
47.21837101;-1.55362101;PROV35;Nantes;France
48.00611001;0.19955601;PROV36;Le Mans;France
48.68684301;-1.36166001;PROV37;Avranches;France
49.63373081;-1.62213701;PROV38;Cherbourg;France
49.18286301;-0.37067901;PROV39;Caen;France
48.74400101;-0.01656601;PROV40;Argentan;France
49.49437001;0.10792901;PROV41;Le Havre;France
49.89406701;2.29575301;PROV42;Amiens;France
51.03436841;2.37677631;PROV43;Dunkerque;France
50.62925001;3.05725601;PROV44;Lille;France
51.20934801;3.22469951;PROV45;Brugge;Benelux
51.9244201;4.4777325;PROV46;Rotterdam;Benelux
52.3702157;4.8951679;PROV47;Amsterdam;Benelux
51.3987962;3.610998;PROV48;Middelburg;Benelux
51.441642;5.4697225;PROV49;Eindhoven;Benelux
51.2194475;4.4024643;PROV50;Antwerpen;Benelux
50.8503396;4.3517103;PROV51;Brussel;Benelux
50.4542408;3.956659;PROV52;Mons;Benelux
49.01091001;14.0000005;PROV53;Prachatice;Czechoslovakia
49.417816;2.826145;PROV54;Compiegne;France
49.258329;4.031696;PROV55;Reims;France
48.856614;2.3522219;PROV56;Paris;France
48.443854;1.489012;PROV57;Chartres;France
47.394144;0.68484;PROV58;Tours;France
44.837789;-0.57918;PROV59;Bordeaux;France
46.580224;0.340375;PROV60;Poitiers;France
47.081012;2.398782;PROV61;Bourges;France
47.902964;1.909251;PROV62;Orléans;France
48.2973451;4.0744009;PROV63;Troyes;France
48.773605;5.158238;PROV64;Bar-le-Duc;France
50.4673883;4.8719854;PROV65;Namur;Benelux
50.7753455;6.0838868;PROV66;Aachen;Germany
51.4556432;7.0115552;PROV67;Essen;Germany
50.6325574;5.5796662;PROV68;Liège;Benelux
50.93069;5.33248;PROV69;Hasselt;Benelux
49.6851364;5.8104804;PROV70;Arlon;Benelux
49.611621;6.1319346;PROV71;Lëtzebuerg;Benelux
49.1193089;6.1757156;PROV72;Metz;France
48.5734053;7.7521113;PROV73;Strasbourg;France
49.2401572;6.9969327;PROV74;Saarbrücken;Germany
50.937531;6.9602786;PROV75;Köln;Germany
51.2277411;6.7734556;PROV76;Düsseldorf;Germany
51.9851034;5.8987296;PROV77;Arnhem;Benelux
53.2193835;6.5665018;PROV78;Groningen;Benelux
52.2215372;6.8936619;PROV79;Enschede;Benelux
53.3594029;7.2060095;PROV80;Emden;Germany
51.9606649;7.6261347;PROV81;Münster;Germany
51.3127114;9.4797461;PROV82;Kassel;Germany
49.9456399;11.5713346;PROV83;Bayreuth;Germany
50.6076846;10.6881255;PROV84;Suhl;Germany
48.5441917;12.1468532;PROV85;Landshut;Germany
52.37589161;9.7320104;PROV86;Hannover;Germany
53.07929621;8.8016937;PROV87;Bremen;Germany
53.55108461;9.9936818;PROV88;Hamburg;Germany
53.86546731;10.6865593;PROV89;Lübeck;Germany
54.32329271;10.1227652;PROV90;Kiel;Germany
55.04085201;9.4151589;PROV91;Åbenrå;Denmark
57.04881951;9.921747;PROV92;Aalborg;Denmark
55.60498101;13.003822;PROV93;Malmö;Sweden
55.43124531;37.5457647;PROV94;Podol'sk;Russia
54.31040991;26.8488824;PROV95;Molodeczno;Poland
57.63480001;18.29484;PROV96;Visby;Sweden
56.66344471;16.356779;PROV97;Kalmar;Sweden
57.70887001;11.97456;PROV98;Göteborg;Sweden
58.39027821;13.8461208;PROV99;Skövde;Sweden
58.41080701;15.6213727;PROV100;Linköping;Sweden
59.32932351;18.0685808;PROV101;Stockholm;Sweden
53.15164171;24.4422029;PROV102;Wolkowysk;Poland
60.09709451;19.9348339;PROV103;Maarianhamina;Finland
59.22053691;10.9347012;PROV104;Fredrikstad;Norway
59.27526261;15.2134105;PROV105;Örebro;Sweden
59.37913631;13.5008041;PROV106;Karlstad;Sweden
59.91386881;10.7522454;PROV107;Oslo;Norway
58.15297761;8.0092118;PROV108;Kristiansand;Norway
58.9699756;5.7331073;PROV109;Stavanger;Norway
61.1856463;6.8079888;PROV110;Leikanger;Norway
60.7945331;11.0679977;PROV111;Hamar;Norway
59.7440738;10.2044564;PROV112;Drammen;Norway
60.6748796;17.1412726;PROV113;Gävle;Sweden
58.4617568;8.7724499;PROV114;Arendal;Norway
60.60646;15.6355;PROV115;Falun;Sweden
61.1152713;10.4662306;PROV116;Lillehammer;Norway
62.7372352;7.1607306;PROV117;Molde;Norway
63.4305149;10.3950528;PROV118;Trondheim;Norway
62.390811;17.306927;PROV119;Sundsvall;Sweden
56.162939;10.203921;PROV120;Århus;Denmark
63.8258471;20.2630354;PROV121;Umeå;Sweden
55.476466;8.459405;PROV122;Esbjerg;Denmark
60.1910277;27.792957;PROV123;Terijoki;Finland
67.2803556;14.404916;PROV124;Bodo;Norway
69.6492047;18.9553238;PROV125;Tromso;Norway
67.8557995;20.2252821;PROV126;Kiruna;Sweden
65.584819;22.1567026;PROV127;Luleå;Sweden
69.9687376;23.2715496;PROV128;Alta;Norway
60.3912628;5.3220544;PROV129;Bergen;Norway
66.4970216;25.724999;PROV130;Rovaniemi;Finland
65.7362771;24.5643979;PROV131;Kemi;Finland
65.0278814;24.8388522;PROV132;Petsamo;Finland
68.9585244;33.0826598;PROV133;Murmansk;White Sea Tundra
68.03077901;39.62345101;PROV134;Jokanga;White Sea Tundra
67.15000001;32.40000001;PROV135;Kandalaksa;White Sea Tundra
64.22705581;27.72860081;PROV136;Kajaani;Finland
65.01261481;25.47145261;PROV137;Oulu;Finland
63.09514121;21.61651281;PROV138;Vaasa;Finland
61.49815081;24.76102541;PROV139;Tampere;Finland
61.48519971;21.79744441;PROV140;Pori;Finland
60.45181261;22.26663031;PROV141;Turku;Finland
60.17332441;24.94102481;PROV142;Helsinki;Finland
66.97432241;29.24028951;PROV143;Kuolajärvi;Finland
61.05494121;28.18962591;PROV144;Lappenranta;Finland
60.15540971;23.07885421;PROV145;Viipuri;Finland
61.70000001;30.66666701;PROV146;Sortavala;Finland
